Wall time,Step,Value
1726882838.6404786,1,2.701986312866211
1726882869.3303368,2,2.5716164112091064
1726882900.4016635,3,2.5083136558532715
1726882929.8295977,4,2.4737234115600586
1726882959.3170683,5,2.4181101322174072
1726882987.6500127,6,2.3768067359924316
1726883016.821653,7,2.344691753387451
1726883045.832269,8,2.3151371479034424
1726883074.7378588,9,2.267000913619995
1726883103.1759992,10,2.2056145668029785
1726883131.6741037,11,2.1453440189361572
1726883160.1670096,12,2.059718608856201
1726883188.684885,13,1.9877192974090576
1726883217.152394,14,1.911167860031128
1726883246.7106764,15,1.8594473600387573
1726883275.6542754,16,1.8136060237884521
1726883304.388642,17,1.763979434967041
1726883334.7315574,18,1.7158780097961426
1726883363.0796282,19,1.6579341888427734
1726883391.5910354,20,1.6354756355285645
1726883420.4052653,21,1.5915387868881226
1726883449.2523947,22,1.5694429874420166
1726883477.389608,23,1.53824782371521
1726883505.9937496,24,1.5180468559265137
1726883534.549586,25,1.4910391569137573
1726883562.7165196,26,1.4765807390213013
1726883591.2879093,27,1.458603858947754
1726883619.2392719,28,1.4301384687423706
1726883647.7248237,29,1.423350214958191
1726883676.1409662,30,1.4011385440826416
1726883704.472196,31,1.3877761363983154
1726883732.6110084,32,1.3723421096801758
1726883761.626873,33,1.3622090816497803
1726883790.5910823,34,1.3407840728759766
1726883819.0464776,35,1.3320072889328003
1726883847.2855413,36,1.3184096813201904
1726883875.6845021,37,1.3243111371994019
1726883903.4365003,38,1.2945137023925781
1726883932.085139,39,1.275097370147705
1726883961.5461085,40,1.2785048484802246
1726883989.8549519,41,1.2559171915054321
1726884017.9540966,42,1.2541446685791016
1726884045.580979,43,1.2588170766830444
1726884073.7381754,44,1.2388354539871216
1726884101.9516425,45,1.2326304912567139
1726884130.811092,46,1.2243261337280273
1726884158.5892982,47,1.2242618799209595
1726884186.6866827,48,1.2088614702224731
1726884215.7704918,49,1.2059201002120972
1726884244.3019621,50,1.2009642124176025
1726884272.949758,51,1.1873809099197388
1726884302.4957645,52,1.188623309135437
1726884330.2287197,53,1.1837507486343384
1726884358.304769,54,1.168882966041565
1726884386.3985226,55,1.1650906801223755
1726884414.5448258,56,1.1559638977050781
1726884443.1847422,57,1.1526494026184082
1726884471.8683877,58,1.148733139038086
1726884500.4060519,59,1.1389507055282593
1726884528.5438123,60,1.151073932647705
1726884557.1617887,61,1.1339930295944214
1726884585.6215074,62,1.126833200454712
1726884612.9117322,63,1.1313716173171997
1726884640.756013,64,1.122606873512268
1726884668.0274858,65,1.1235226392745972
1726884696.362929,66,1.1101847887039185
1726884723.592175,67,1.108079195022583
1726884751.2203932,68,1.107944369316101
1726884778.3993268,69,1.099761724472046
1726884805.6599953,70,1.1004116535186768
1726884832.4042938,71,1.096389889717102
1726884859.3837914,72,1.0937154293060303
1726884886.1668298,73,1.0878595113754272
1726884914.0254052,74,1.075573444366455
1726884941.6927671,75,1.071090579032898
1726884969.9589815,76,1.0757864713668823
1726884998.0918036,77,1.071000337600708
1726885024.186091,78,1.064878225326538
1726885050.8355696,79,1.05161452293396
1726885077.4772997,80,1.067907691001892
1726885103.9959605,81,1.0604718923568726
1726885130.935998,82,1.0676020383834839
1726885157.615977,83,1.0535808801651
1726885184.6018574,84,1.0515806674957275
1726885210.839828,85,1.0456569194793701
1726885237.1077707,86,1.0461795330047607
1726885263.7722323,87,1.0385185480117798
1726885289.7137578,88,1.036024808883667
1726885315.599583,89,1.0297218561172485
1726885341.4162247,90,1.0474443435668945
1726885368.3682375,91,1.0316977500915527
1726885395.6048028,92,1.0261306762695312
1726885422.03715,93,1.0309683084487915
1726885448.0292714,94,1.028641939163208
1726885473.6222892,95,1.0224508047103882
1726885499.4956875,96,1.025702953338623
1726885525.7566087,97,1.0074396133422852
1726885551.145756,98,1.009636640548706
1726885577.574254,99,1.0045193433761597
1726885603.0474486,100,0.9979899525642395
1726885628.709135,101,0.9973757863044739
1726885655.134052,102,0.9996504187583923
1726885680.8005521,103,1.0045117139816284
1726885707.046317,104,1.0146719217300415
1726885732.4684637,105,0.9973077774047852
1726885757.3445754,106,1.0052088499069214
1726885782.993192,107,0.9867626428604126
1726885808.7996697,108,0.9960946440696716
1726885834.3567483,109,0.9920468926429749
1726885860.2033167,110,0.9986013770103455
1726885886.6387055,111,0.9852719902992249
1726885913.0514872,112,0.9826355576515198
1726885939.0760524,113,0.9679042100906372
1726885964.1453836,114,0.9774304032325745
1726885989.8320167,115,0.9752315878868103
1726886015.5084915,116,0.9832269549369812
1726886040.4746475,117,0.974714457988739
1726886065.920088,118,0.9702774882316589
1726886091.9734185,119,0.9775895476341248
1726886117.2769773,120,0.9639976620674133
1726886143.5397983,121,0.968004584312439
1726886169.1308258,122,0.9718215465545654
1726886194.3539917,123,0.9659056663513184
1726886220.2219985,124,0.9676886796951294
1726886245.515061,125,0.9673560261726379
1726886270.8327954,126,0.9615290760993958
1726886296.0641096,127,0.9612793326377869
1726886323.0169125,128,0.9645498991012573
1726886349.4885373,129,0.9642689228057861
1726886375.4214385,130,0.9535244703292847
1726886399.8189795,131,0.9549908638000488
1726886425.9054964,132,0.9666734337806702
1726886457.247439,133,0.9656994938850403
1726886484.4780326,134,0.9491967558860779
1726886511.1216857,135,0.9531130790710449
1726886538.4942267,136,0.955766499042511
1726886565.8229558,137,0.9610130786895752
1726886592.8098896,138,0.946593701839447
1726886619.2901607,139,0.9470198154449463
1726886646.1813717,140,0.9511459469795227
1726886673.1519456,141,0.9520964622497559
1726886699.8638296,142,0.9422225952148438
1726886726.06789,143,0.9420979619026184
1726886753.3846347,144,0.942190945148468
1726886780.1621306,145,0.9449535608291626
1726886807.0089674,146,0.941135048866272
1726886834.102272,147,0.9474275708198547
1726886861.620825,148,0.936861515045166
1726886888.2767682,149,0.9493318796157837
1726886914.509447,150,0.9286618828773499
1726886942.2350914,151,0.931105375289917
1726886968.7008505,152,0.9368783831596375
1726886995.7651906,153,0.9429491758346558
1726887022.7428045,154,0.9373141527175903
1726887049.689147,155,0.9424875378608704
1726887076.0490859,156,0.9271112084388733
1726887102.6179879,157,0.9324711561203003
1726887129.7445989,158,0.9240743517875671
1726887155.6529236,159,0.9210459589958191
1726887182.7548752,160,0.9324209094047546
1726887209.527239,161,0.9287515878677368
1726887237.0364516,162,0.9250589609146118
1726887262.5214999,163,0.9207865595817566
1726887289.7801778,164,0.9307516813278198
1726887317.294642,165,0.9228014349937439
1726887343.3986447,166,0.9265073537826538
1726887370.42784,167,0.9237841963768005
1726887397.1134868,168,0.9240604043006897
1726887423.3522842,169,0.9235987663269043
1726887449.7220464,170,0.9225836992263794
1726887475.735123,171,0.9216758608818054
1726887502.2780492,172,0.9246873259544373
1726887528.3355236,173,0.9160469770431519
