                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,      train/loss_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,      train/loss_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
28,1.0874,0.85743,1.5242,10.870515,1.1503,0.95267,1.5417,11.416135,0.82133,0.82152,0.89771,0.64957,0.98705,0.69626,1.5366,1.0446,0.71715,1.5786,0.008713,0.008713,0.008713
29,1.0908,0.85372,1.5369,10.91321,1.1561,0.94949,1.5634,11.490595,0.83489,0.79707,0.89872,0.65048,1.0188,0.64826,1.5573,1.0335,0.68391,1.5588,0.0086635,0.0086635,0.0086635
30,1.0811,0.83611,1.5269,10.816655,1.1522,0.91168,1.5479,11.41919,0.80256,0.80501,0.87595,0.63787,1.0126,0.65857,1.5647,1.0269,0.71849,1.5488,0.008614,0.008614,0.008614
31,1.0782,0.85123,1.5192,10.790915,1.145,0.95895,1.5408,11.378175,0.83983,0.82047,0.91089,0.66505,0.9578,0.67352,1.5067,0.97848,0.67316,1.5157,0.0085645,0.0085645,0.0085645
32,1.0612,0.81167,1.5118,10.632535,1.1339,0.89037,1.542,11.262435,0.83193,0.84352,0.92273,0.66849,0.98717,0.626,1.5344,1.0033,0.66651,1.561,0.008515,0.008515,0.008515
33,1.0662,0.80661,1.4993,10.648755,1.134,0.8913,1.5386,11.25855,0.86038,0.84371,0.92305,0.66718,0.9751,0.61905,1.508,1.0291,0.59314,1.5584,0.0084655,0.0084655,0.0084655
34,1.0484,0.79873,1.4965,10.507115,1.1215,0.85701,1.5442,11.156055,0.83396,0.86797,0.91657,0.66607,1.0055,0.64392,1.5436,1.0424,0.6297,1.5807,0.008416,0.008416,0.008416
35,1.0434,0.78914,1.4851,10.44772,1.1099,0.85355,1.5094,11.015125,0.86031,0.84841,0.92631,0.66963,0.94619,0.63523,1.4708,0.98752,0.63641,1.5053,0.0083665,0.0083665,0.0083665
36,1.0322,0.77277,1.4778,10.344585,1.1048,0.83221,1.5121,10.970255,0.87558,0.88264,0.94043,0.68906,0.97694,0.63114,1.4934,1.0154,0.56695,1.5302,0.008317,0.008317,0.008317
37,1.0307,0.78057,1.4778,10.337235,1.1032,0.82449,1.5171,10.961895,0.87073,0.83863,0.92732,0.68838,0.95156,0.60424,1.4796,0.97419,0.58929,1.4968,0.0082675,0.0082675,0.0082675
38,1.0205,0.76953,1.4671,10.239165,1.0939,0.81744,1.5067,10.87302,0.85505,0.85093,0.9226,0.69134,0.93822,0.58151,1.4614,0.99215,0.5825,1.5056,0.008218,0.008218,0.008218
39,1.0224,0.76355,1.4756,10.263175,1.0928,0.80368,1.5008,10.84904,0.89368,0.84352,0.93519,0.70423,0.90358,0.58436,1.4571,0.95804,0.53797,1.4915,0.0081685,0.0081685,0.0081685
40,1.0205,0.76688,1.4641,10.23334,1.0879,0.83225,1.4918,10.813075,0.88276,0.87042,0.93551,0.70197,0.93814,0.58542,1.48,0.98033,0.56234,1.5019,0.008119,0.008119,0.008119
41,0.98662,0.75788,1.445,9.94609,1.0652,0.80663,1.4759,10.606165,0.85863,0.89097,0.9416,0.71148,0.92219,0.575,1.4661,0.96233,0.51772,1.4823,0.0080695,0.0080695,0.0080695
42,0.99516,0.73798,1.4374,9.98879,1.0707,0.78437,1.4713,10.629385,0.87503,0.89023,0.95374,0.71364,0.90418,0.58083,1.429,0.95502,0.5184,1.4528,0.00802,0.00802,0.00802
