               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
45,0.022981,0.01428,0,0.129185,0.91039,0.96875,0.97526,0.73106,0.019844,0.0084947,0,0.007822,0.007822,0.007822
46,0.023028,0.014405,0,0.129545,0.92355,0.96088,0.97598,0.73016,0.020004,0.0084877,0,0.0077725,0.0077725,0.0077725
47,0.022366,0.014329,0,0.126159,0.91921,0.94585,0.96705,0.73085,0.019642,0.0085105,0,0.007723,0.007723,0.007723
48,0.022314,0.014265,0,0.125835,0.91322,0.96333,0.97603,0.73625,0.019117,0.008479,0,0.0076735,0.0076735,0.0076735
49,0.021802,0.013696,0,0.122706,0.91536,0.94621,0.96646,0.7282,0.019146,0.0086688,0,0.007624,0.007624,0.007624
50,0.022189,0.013904,0,0.124849,0.8948,0.95668,0.97048,0.74117,0.019106,0.0083252,0,0.0075745,0.0075745,0.0075745
51,0.022299,0.014069,0,0.125564,0.95105,0.95002,0.98343,0.75544,0.019552,0.0081994,0,0.007525,0.007525,0.007525
52,0.021999,0.013567,0,0.123562,0.9456,0.93508,0.97919,0.75457,0.018939,0.0081366,0,0.0074755,0.0074755,0.0074755
53,0.022094,0.013656,0,0.124126,0.9369,0.94866,0.97832,0.7553,0.019081,0.0080602,0,0.007426,0.007426,0.007426
54,0.021738,0.01359,0,0.12228,0.92727,0.95599,0.9771,0.75166,0.018851,0.0082535,0,0.0073765,0.0073765,0.0073765
55,0.021953,0.013453,0,0.123218,0.9272,0.96088,0.97909,0.75185,0.019326,0.0082069,0,0.007327,0.007327,0.007327
56,0.021803,0.013802,0,0.122817,0.92167,0.97821,0.97911,0.7554,0.01883,0.0080747,0,0.0072775,0.0072775,0.0072775
57,0.021086,0.013366,0,0.118796,0.93803,0.96228,0.97966,0.75542,0.018727,0.0081433,0,0.007228,0.007228,0.007228
58,0.021208,0.013521,0,0.119561,0.92179,0.95096,0.97819,0.74707,0.018551,0.008281,0,0.0071785,0.0071785,0.0071785
59,0.021111,0.01326,0,0.118815,0.92946,0.9511,0.97727,0.75019,0.018826,0.0081683,0,0.007129,0.007129,0.007129
60,0.021165,0.012974,0,0.118799,0.90457,0.97337,0.96834,0.74835,0.018548,0.0081895,0,0.0070795,0.0070795,0.0070795
61,0.020793,0.012859,0,0.116824,0.93213,0.93154,0.97423,0.7477,0.018671,0.008079,0,0.00703,0.00703,0.00703
62,0.020635,0.01281,0,0.115985,0.90924,0.98289,0.97826,0.75885,0.018123,0.0078913,0,0.0069805,0.0069805,0.0069805
63,0.02056,0.012632,0,0.115432,0.92947,0.96659,0.97915,0.75193,0.018788,0.0078632,0,0.006931,0.006931,0.006931
64,0.020852,0.012771,0,0.117031,0.93734,0.95097,0.97743,0.74728,0.018694,0.0081256,0,0.0068815,0.0068815,0.0068815
65,0.020896,0.01291,0,0.11739,0.91991,0.95844,0.98061,0.7582,0.018533,0.0078906,0,0.006832,0.006832,0.006832
66,0.02019,0.012833,0,0.113783,0.94217,0.95606,0.98186,0.76272,0.018763,0.0080428,0,0.0067825,0.0067825,0.0067825
67,0.020683,0.012973,0,0.116388,0.89163,0.98567,0.97774,0.74941,0.018799,0.0080743,0,0.006733,0.006733,0.006733
68,0.020705,0.012836,0,0.116361,0.90957,0.98365,0.97919,0.75814,0.018794,0.0081571,0,0.0066835,0.0066835,0.0066835
69,0.020043,0.012556,0,0.112771,0.93364,0.96322,0.98134,0.76743,0.018061,0.0077586,0,0.006634,0.006634,0.006634
70,0.020188,0.012741,0,0.113681,0.90249,0.98044,0.97405,0.75991,0.018076,0.008003,0,0.0065845,0.0065845,0.0065845
71,0.020025,0.012632,0,0.112757,0.92455,0.98874,0.98267,0.76565,0.017969,0.0077273,0,0.006535,0.006535,0.006535
72,0.01996,0.012417,0,0.112217,0.95049,0.93874,0.98204,0.77183,0.018273,0.0078019,0,0.0064855,0.0064855,0.0064855
73,0.020133,0.012508,0,0.113173,0.92769,0.97239,0.97887,0.77097,0.017883,0.0078366,0,0.006436,0.006436,0.006436
74,0.019843,0.012466,0,0.111681,0.95532,0.94093,0.97856,0.75527,0.017957,0.0080608,0,0.0063865,0.0063865,0.0063865
75,0.019921,0.012464,0,0.112069,0.9468,0.95732,0.98236,0.76509,0.017879,0.0077514,0,0.006337,0.006337,0.006337
76,0.019907,0.012348,0,0.111883,0.93592,0.96412,0.98341,0.77134,0.018028,0.007756,0,0.0062875,0.0062875,0.0062875
77,0.019484,0.01248,0,0.1099,0.93323,0.96577,0.97541,0.75845,0.017763,0.0077971,0,0.006238,0.006238,0.006238
78,0.019851,0.01231,0,0.111565,0.95548,0.93154,0.97921,0.76567,0.018358,0.0080131,0,0.0061885,0.0061885,0.0061885
79,0.01943,0.012395,0,0.109545,0.9384,0.96841,0.98089,0.75979,0.018043,0.0078295,0,0.006139,0.006139,0.006139
80,0.019303,0.01247,0,0.108985,0.94208,0.95438,0.984,0.76547,0.018176,0.0077918,0,0.0060895,0.0060895,0.0060895
81,0.019302,0.012205,0,0.108715,0.92878,0.97311,0.98291,0.77163,0.017504,0.0076205,0,0.00604,0.00604,0.00604
82,0.018992,0.011892,0,0.106852,0.92964,0.96911,0.98015,0.76448,0.018298,0.0079823,0,0.0059905,0.0059905,0.0059905
83,0.019102,0.012104,0,0.107614,0.93851,0.9703,0.9836,0.76949,0.017635,0.0078452,0,0.005941,0.005941,0.005941
84,0.019083,0.012004,0,0.107419,0.93156,0.96504,0.98158,0.77263,0.017904,0.0077343,0,0.0058915,0.0058915,0.0058915
85,0.019185,0.012211,0,0.108136,0.93885,0.97594,0.98153,0.77622,0.017767,0.0076594,0,0.005842,0.005842,0.005842
86,0.018795,0.011799,0,0.105774,0.94973,0.96822,0.98376,0.77646,0.017773,0.0078277,0,0.0057925,0.0057925,0.0057925
87,0.018878,0.011879,0,0.106269,0.92845,0.98354,0.98034,0.76855,0.017903,0.0078583,0,0.005743,0.005743,0.005743
88,0.018918,0.011902,0,0.106492,0.9452,0.96987,0.98109,0.76773,0.017908,0.007882,0,0.0056935,0.0056935,0.0056935
89,0.018548,0.011781,0,0.104521,0.93612,0.95844,0.97768,0.77576,0.017507,0.0077307,0,0.005644,0.005644,0.005644
90,0.018801,0.012204,0,0.106209,0.94387,0.97555,0.98197,0.76914,0.01771,0.0077784,0,0.0055945,0.0055945,0.0055945
91,0.018782,0.011763,0,0.105673,0.93508,0.97555,0.98033,0.77509,0.018125,0.0079355,0,0.005545,0.005545,0.005545
92,0.018711,0.011932,0,0.105487,0.94307,0.97212,0.98161,0.77502,0.017703,0.0077557,0,0.0054955,0.0054955,0.0054955
93,0.018469,0.01189,0,0.104235,0.9405,0.9662,0.98291,0.77464,0.017488,0.0078308,0,0.005446,0.005446,0.005446
94,0.018661,0.011649,0,0.104954,0.93642,0.97231,0.98098,0.78095,0.017203,0.0076732,0,0.0053965,0.0053965,0.0053965
95,0.018539,0.011647,0,0.104342,0.94001,0.96822,0.97756,0.76808,0.017689,0.0079488,0,0.005347,0.005347,0.005347
96,0.018518,0.011911,0,0.104501,0.94259,0.96822,0.98312,0.77751,0.017544,0.0076708,0,0.0052975,0.0052975,0.0052975
97,0.018472,0.011304,0,0.103664,0.94701,0.9511,0.9798,0.76676,0.017612,0.0080826,0,0.005248,0.005248,0.005248
98,0.018348,0.011508,0,0.103248,0.92995,0.9737,0.98056,0.77298,0.017864,0.0079343,0,0.0051985,0.0051985,0.0051985
99,0.018181,0.011345,0,0.10225,0.94453,0.978,0.97855,0.77431,0.017524,0.0077867,0,0.005149,0.005149,0.005149
100,0.018153,0.011588,0,0.102353,0.94992,0.95355,0.98031,0.77369,0.017382,0.0076335,0,0.0050995,0.0050995,0.0050995
101,0.018188,0.011468,0,0.102408,0.94863,0.94815,0.97827,0.76932,0.017818,0.007821,0,0.00505,0.00505,0.00505
102,0.017989,0.011408,0,0.101353,0.93963,0.97555,0.98067,0.77155,0.017826,0.0078809,0,0.0050005,0.0050005,0.0050005
103,0.017757,0.011507,0,0.100292,0.93619,0.96852,0.98055,0.77734,0.017605,0.0079007,0,0.004951,0.004951,0.004951
104,0.018061,0.011386,0,0.101691,0.93685,0.96333,0.98064,0.77525,0.017502,0.0079503,0,0.0049015,0.0049015,0.0049015
105,0.01781,0.011105,0,0.100155,0.94938,0.96577,0.97795,0.77213,0.017294,0.0079556,0,0.004852,0.004852,0.004852
106,0.01788,0.011028,0,0.100428,0.93532,0.96822,0.98132,0.77392,0.017384,0.0078772,0,0.0048025,0.0048025,0.0048025
107,0.017683,0.010943,0,0.099358,0.92679,0.97066,0.98006,0.7845,0.017105,0.0078682,0,0.004753,0.004753,0.004753
108,0.017794,0.011521,0,0.100491,0.92843,0.97311,0.98092,0.77826,0.017626,0.007808,0,0.0047035,0.0047035,0.0047035
109,0.017905,0.011296,0,0.100821,0.93584,0.95844,0.97869,0.77255,0.017459,0.007956,0,0.004654,0.004654,0.004654
110,0.017788,0.010844,0,0.099784,0.94619,0.96088,0.98071,0.78177,0.017543,0.0080968,0,0.0046045,0.0046045,0.0046045
111,0.017463,0.01108,0,0.098395,0.94851,0.94621,0.98026,0.78658,0.017438,0.0079951,0,0.004555,0.004555,0.004555
112,0.017381,0.011027,0,0.097932,0.93414,0.97097,0.97939,0.77357,0.017524,0.0079704,0,0.0045055,0.0045055,0.0045055
113,0.0173,0.011001,0,0.097501,0.92578,0.96822,0.97888,0.77809,0.017448,0.0078397,0,0.004456,0.004456,0.004456
114,0.01728,0.010843,0,0.097243,0.93155,0.96499,0.98261,0.78219,0.017744,0.007968,0,0.0044065,0.0044065,0.0044065
115,0.017098,0.010852,0,0.096342,0.93959,0.95075,0.97829,0.77998,0.017367,0.0079954,0,0.004357,0.004357,0.004357
116,0.017273,0.010919,0,0.097284,0.94651,0.95188,0.97915,0.77775,0.017328,0.0079384,0,0.0043075,0.0043075,0.0043075
117,0.01693,0.010604,0,0.095254,0.94915,0.94621,0.98049,0.77903,0.017373,0.0079736,0,0.004258,0.004258,0.004258
118,0.017031,0.010819,0,0.095974,0.94257,0.96577,0.98237,0.77989,0.017541,0.007962,0,0.0042085,0.0042085,0.0042085
119,0.01698,0.010709,0,0.095609,0.94951,0.96577,0.98268,0.78672,0.017337,0.0077842,0,0.004159,0.004159,0.004159
120,0.017104,0.010808,0,0.096328,0.9232,0.978,0.98092,0.78044,0.017734,0.0079638,0,0.0041095,0.0041095,0.0041095
121,0.016885,0.010831,0,0.095256,0.92696,0.97311,0.98145,0.78513,0.017399,0.007987,0,0.00406,0.00406,0.00406
122,0.016976,0.010837,0,0.095717,0.92566,0.97311,0.98187,0.77902,0.017206,0.0079107,0,0.0040105,0.0040105,0.0040105
123,0.016761,0.010346,0,0.094151,0.93778,0.95808,0.98013,0.78633,0.017059,0.0078545,0,0.003961,0.003961,0.003961
124,0.016604,0.010353,0,0.093373,0.92834,0.97311,0.98158,0.78524,0.016963,0.0079062,0,0.0039115,0.0039115,0.0039115
125,0.01676,0.010704,0,0.094504,0.93663,0.97578,0.98453,0.79141,0.017036,0.0076503,0,0.003862,0.003862,0.003862
126,0.017,0.010509,0,0.095509,0.93642,0.97229,0.98126,0.78311,0.017224,0.0081153,0,0.0038125,0.0038125,0.0038125
127,0.01669,0.010856,0,0.094306,0.94673,0.95595,0.98277,0.78387,0.017115,0.007851,0,0.003763,0.003763,0.003763
128,0.01687,0.010509,0,0.094859,0.9533,0.94819,0.98114,0.78369,0.01704,0.0078167,0,0.0037135,0.0037135,0.0037135
129,0.016495,0.010611,0,0.093086,0.93608,0.97066,0.9821,0.78797,0.017111,0.0077719,0,0.003664,0.003664,0.003664
130,0.01678,0.01057,0,0.09447,0.94229,0.95814,0.98123,0.78604,0.01717,0.007956,0,0.0036145,0.0036145,0.0036145
131,0.016386,0.010454,0,0.092384,0.93965,0.96577,0.98041,0.78745,0.017366,0.0080563,0,0.003565,0.003565,0.003565
132,0.016054,0.010501,0,0.090771,0.91981,0.98156,0.97909,0.78476,0.017052,0.0079474,0,0.0035155,0.0035155,0.0035155
133,0.015789,0.010337,0,0.089282,0.93587,0.9633,0.9813,0.79652,0.016766,0.0079013,0,0.003466,0.003466,0.003466
134,0.016245,0.010147,0,0.091372,0.94246,0.97311,0.98519,0.78906,0.016927,0.0079156,0,0.0034165,0.0034165,0.0034165
