epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1148.84,0.87354,0.61229,1.3266,0.90166,0.96393,0.97084,0.75997,0.85913,0.52228,1.38512,0.007921,0.007921,0.007921
44,1174.94,0.86404,0.59816,1.31023,0.93708,0.93643,0.97773,0.7613,0.86893,0.49959,1.38078,0.0078715,0.0078715,0.0078715
45,1201.17,0.85688,0.59164,1.306,0.92516,0.93888,0.9735,0.76062,0.84926,0.52697,1.37011,0.007822,0.007822,0.007822
46,1227.49,0.84773,0.5776,1.29551,0.91795,0.93643,0.97207,0.76312,0.85228,0.50886,1.36431,0.0077725,0.0077725,0.0077725
47,1253.75,0.84563,0.59084,1.29518,0.93879,0.93154,0.9741,0.75963,0.88565,0.50314,1.3801,0.007723,0.007723,0.007723
48,1279.84,0.84385,0.58488,1.28772,0.93904,0.94166,0.97634,0.7669,0.86045,0.49645,1.37386,0.0076735,0.0076735,0.0076735
49,1306,0.83928,0.5739,1.28555,0.92988,0.95599,0.97501,0.76692,0.85311,0.49285,1.36867,0.007624,0.007624,0.007624
50,1332.2,0.83379,0.57524,1.27877,0.92505,0.95355,0.97744,0.76841,0.83981,0.50378,1.36175,0.0075745,0.0075745,0.0075745
51,1358.48,0.82372,0.56896,1.27613,0.91514,0.96333,0.97818,0.76746,0.8572,0.50887,1.35832,0.007525,0.007525,0.007525
52,1384.69,0.81557,0.56328,1.26828,0.93564,0.95977,0.98226,0.7839,0.84987,0.47387,1.34674,0.0074755,0.0074755,0.0074755
53,1411.65,0.83284,0.56473,1.27609,0.93034,0.94703,0.97911,0.77893,0.83461,0.48985,1.35258,0.007426,0.007426,0.007426
54,1437.97,0.80867,0.55915,1.26327,0.913,0.93399,0.97329,0.76855,0.82494,0.48115,1.34678,0.0073765,0.0073765,0.0073765
55,1464.07,0.80928,0.55765,1.26444,0.93096,0.92317,0.97693,0.76792,0.82981,0.49017,1.35287,0.007327,0.007327,0.007327
56,1490.2,0.80353,0.55754,1.2617,0.92473,0.96128,0.97727,0.78488,0.81487,0.46669,1.33733,0.0072775,0.0072775,0.0072775
57,1517,0.80333,0.54615,1.2545,0.91472,0.97031,0.9739,0.77623,0.80756,0.46799,1.32081,0.007228,0.007228,0.007228
58,1543.16,0.78746,0.52844,1.23503,0.94002,0.95794,0.9768,0.77684,0.81951,0.46384,1.31741,0.0071785,0.0071785,0.0071785
59,1569.25,0.79484,0.5374,1.2497,0.9254,0.95599,0.97179,0.76422,0.83639,0.46217,1.36126,0.007129,0.007129,0.007129
60,1595.45,0.77823,0.53549,1.23755,0.95001,0.94866,0.97971,0.78987,0.81226,0.44626,1.32945,0.0070795,0.0070795,0.0070795
61,1622.28,0.77915,0.51809,1.23236,0.94925,0.96028,0.98343,0.78484,0.82845,0.45213,1.33474,0.00703,0.00703,0.00703
62,1648.59,0.79137,0.53133,1.24689,0.91183,0.97555,0.97754,0.77514,0.82474,0.47547,1.36332,0.0069805,0.0069805,0.0069805
63,1674.9,0.78108,0.52952,1.23192,0.9552,0.93841,0.98055,0.77619,0.83636,0.45822,1.36156,0.006931,0.006931,0.006931
64,1701.11,0.77398,0.52797,1.22792,0.92484,0.96277,0.9771,0.77245,0.83326,0.47902,1.34372,0.0068815,0.0068815,0.0068815
65,1733.24,0.77724,0.5285,1.23052,0.942,0.95304,0.97867,0.78566,0.82357,0.45626,1.33733,0.006832,0.006832,0.006832
66,1759.48,0.76019,0.51351,1.21537,0.93025,0.95844,0.97691,0.77842,0.81487,0.47181,1.35065,0.0067825,0.0067825,0.0067825
67,1785.78,0.75712,0.50632,1.21903,0.93753,0.94621,0.98116,0.77968,0.83571,0.45455,1.36001,0.006733,0.006733,0.006733
68,1811.97,0.76417,0.51807,1.22321,0.94229,0.95817,0.98387,0.79182,0.81821,0.43485,1.33365,0.0066835,0.0066835,0.0066835
69,1838.83,0.75933,0.50697,1.22186,0.92466,0.96333,0.98109,0.78191,0.83168,0.44339,1.35133,0.006634,0.006634,0.006634
70,1864.88,0.76314,0.51212,1.21797,0.94529,0.94377,0.97807,0.77978,0.83102,0.45399,1.35788,0.0065845,0.0065845,0.0065845
71,1891.32,0.757,0.50449,1.20943,0.92629,0.95254,0.98143,0.78628,0.83048,0.45646,1.33582,0.006535,0.006535,0.006535
72,1917.37,0.74201,0.49347,1.20289,0.9022,0.96991,0.97172,0.7803,0.796,0.45271,1.31409,0.0064855,0.0064855,0.0064855
73,1943.45,0.73141,0.48766,1.18819,0.92605,0.94866,0.97776,0.79075,0.82791,0.4615,1.34863,0.006436,0.006436,0.006436
74,1969.67,0.7321,0.48398,1.1981,0.91589,0.96577,0.97686,0.78462,0.81697,0.44248,1.32077,0.0063865,0.0063865,0.0063865
75,1995.77,0.73998,0.48306,1.19549,0.95594,0.95484,0.98279,0.7887,0.79924,0.44074,1.31253,0.006337,0.006337,0.006337
76,2021.9,0.7283,0.48953,1.18831,0.92276,0.97066,0.9798,0.78794,0.79535,0.44503,1.3092,0.0062875,0.0062875,0.0062875
77,2047.98,0.72755,0.47344,1.17971,0.92905,0.9511,0.97748,0.78331,0.81291,0.46851,1.31983,0.006238,0.006238,0.006238
78,2073.88,0.72721,0.47794,1.18615,0.93684,0.9511,0.97995,0.80224,0.80054,0.45229,1.30381,0.0061885,0.0061885,0.0061885
79,2100.63,0.7261,0.47854,1.19078,0.92809,0.9511,0.97687,0.78466,0.81573,0.46055,1.34632,0.006139,0.006139,0.006139
80,2126.64,0.73738,0.48703,1.19587,0.90204,0.96807,0.9724,0.77367,0.81094,0.45704,1.34174,0.0060895,0.0060895,0.0060895
81,2152.73,0.72695,0.47268,1.18936,0.93292,0.95206,0.97721,0.78586,0.78642,0.44929,1.29685,0.00604,0.00604,0.00604
82,2183.3,0.71245,0.46211,1.17041,0.92843,0.95599,0.98215,0.79469,0.81042,0.43268,1.33139,0.0059905,0.0059905,0.0059905
83,2209.3,0.69807,0.45776,1.16329,0.92552,0.97223,0.97602,0.79085,0.79217,0.42957,1.2992,0.005941,0.005941,0.005941
