epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2352.75,0.84149,0.58456,1.28476,0.93389,0.93248,0.97578,0.76689,0.84307,0.49145,1.34055,0.007921,0.007921,0.007921
44,2406.23,0.8301,0.57852,1.26922,0.94134,0.92421,0.97588,0.77384,0.82648,0.4851,1.33384,0.0078715,0.0078715,0.0078715
45,2461.43,0.82737,0.5728,1.2666,0.92851,0.94377,0.97882,0.77522,0.82378,0.48959,1.34157,0.007822,0.007822,0.007822
46,2516.7,0.80489,0.55743,1.24806,0.93366,0.92913,0.9756,0.77391,0.82811,0.50609,1.33118,0.0077725,0.0077725,0.0077725
47,2570.31,0.81432,0.56826,1.25651,0.93262,0.94751,0.97926,0.781,0.81371,0.47495,1.31094,0.007723,0.007723,0.007723
48,2625.39,0.82057,0.56244,1.25756,0.91497,0.94621,0.97078,0.77388,0.82606,0.48729,1.33185,0.0076735,0.0076735,0.0076735
49,2679.02,0.80451,0.54964,1.24787,0.91445,0.94084,0.97714,0.77296,0.8367,0.4793,1.36174,0.007624,0.007624,0.007624
50,2732.91,0.79972,0.55767,1.24467,0.93185,0.93604,0.9738,0.76952,0.83937,0.49946,1.36962,0.0075745,0.0075745,0.0075745
51,2786.42,0.79452,0.55245,1.23702,0.93785,0.95844,0.97995,0.78914,0.80925,0.4561,1.32294,0.007525,0.007525,0.007525
52,2841.83,0.78717,0.53223,1.23103,0.92346,0.94866,0.97929,0.77126,0.82529,0.48042,1.33047,0.0074755,0.0074755,0.0074755
53,2895.43,0.80119,0.54741,1.24415,0.92905,0.96333,0.98303,0.77813,0.83339,0.45944,1.31239,0.007426,0.007426,0.007426
54,2949.11,0.77604,0.52997,1.22139,0.93143,0.9632,0.97895,0.79031,0.81189,0.46588,1.30844,0.0073765,0.0073765,0.0073765
55,3004.59,0.77569,0.53272,1.22903,0.91945,0.94621,0.98237,0.77318,0.8409,0.4806,1.35781,0.007327,0.007327,0.007327
56,3058.26,0.77753,0.53454,1.23174,0.93431,0.95599,0.97961,0.79731,0.78986,0.45941,1.29991,0.0072775,0.0072775,0.0072775
57,3113.56,0.76862,0.51847,1.21668,0.92487,0.96333,0.97873,0.78315,0.7995,0.47109,1.32597,0.007228,0.007228,0.007228
58,3167.27,0.75027,0.50019,1.1941,0.91428,0.9388,0.97609,0.77636,0.82824,0.49135,1.32951,0.0071785,0.0071785,0.0071785
59,3220.83,0.76045,0.51315,1.21044,0.91192,0.96333,0.98145,0.78885,0.78663,0.44766,1.3142,0.007129,0.007129,0.007129
60,3274.59,0.75231,0.50656,1.20285,0.93417,0.92421,0.97917,0.78538,0.80226,0.46239,1.30375,0.0070795,0.0070795,0.0070795
61,3328.26,0.74903,0.49938,1.19762,0.91412,0.96822,0.97946,0.788,0.82318,0.43818,1.32796,0.00703,0.00703,0.00703
62,3381.89,0.75963,0.51365,1.21157,0.92789,0.94378,0.97867,0.78133,0.79818,0.4385,1.31954,0.0069805,0.0069805,0.0069805
63,3435.66,0.74532,0.50862,1.2018,0.92397,0.95082,0.97895,0.78715,0.79748,0.46299,1.31227,0.006931,0.006931,0.006931
64,3489.24,0.74778,0.49846,1.19819,0.94061,0.96809,0.98375,0.78362,0.82081,0.43931,1.33649,0.0068815,0.0068815,0.0068815
65,3542.8,0.74531,0.501,1.19773,0.92158,0.9511,0.97696,0.78624,0.8043,0.46544,1.32722,0.006832,0.006832,0.006832
66,3596.41,0.7456,0.49216,1.19298,0.92087,0.96738,0.97288,0.78434,0.80058,0.47965,1.31476,0.0067825,0.0067825,0.0067825
67,3650.07,0.73008,0.48498,1.18858,0.9418,0.94961,0.98426,0.79081,0.8125,0.42465,1.33543,0.006733,0.006733,0.006733
68,3703.66,0.72504,0.4873,1.19181,0.91712,0.97394,0.98369,0.79665,0.79192,0.42644,1.31526,0.0066835,0.0066835,0.0066835
69,3757.43,0.72886,0.49208,1.1959,0.91808,0.95899,0.98122,0.7893,0.80781,0.44494,1.34066,0.006634,0.006634,0.006634
70,3811.13,0.72506,0.48887,1.18874,0.91876,0.96774,0.97874,0.78543,0.78888,0.46224,1.30801,0.0065845,0.0065845,0.0065845
71,3864.7,0.72479,0.48567,1.17887,0.92489,0.96339,0.98155,0.79274,0.80218,0.4467,1.30149,0.006535,0.006535,0.006535
72,3918.3,0.71305,0.46994,1.17413,0.91775,0.98218,0.97663,0.79219,0.79109,0.43038,1.31652,0.0064855,0.0064855,0.0064855
73,3971.98,0.69145,0.46168,1.15255,0.92956,0.96789,0.98123,0.78646,0.79865,0.43786,1.34091,0.006436,0.006436,0.006436
74,4025.61,0.70462,0.46524,1.17128,0.9279,0.95844,0.97993,0.79531,0.80577,0.43442,1.33243,0.0063865,0.0063865,0.0063865
75,4079.35,0.71303,0.46034,1.17329,0.92607,0.96822,0.98287,0.80278,0.78716,0.43784,1.29933,0.006337,0.006337,0.006337
76,4134.91,0.69884,0.45991,1.16276,0.94163,0.94377,0.98162,0.81005,0.77739,0.4389,1.29985,0.0062875,0.0062875,0.0062875
77,4190.22,0.697,0.45556,1.15291,0.93242,0.95844,0.97992,0.79569,0.77584,0.44083,1.30617,0.006238,0.006238,0.006238
78,4243.97,0.69422,0.45715,1.15616,0.92078,0.96625,0.9825,0.80676,0.77488,0.41964,1.3,0.0061885,0.0061885,0.0061885
79,4297.6,0.69493,0.45789,1.16237,0.92266,0.9626,0.97575,0.79783,0.77498,0.44148,1.29337,0.006139,0.006139,0.006139
80,4351.18,0.69947,0.45986,1.16097,0.92724,0.95844,0.97536,0.79125,0.78824,0.44601,1.32723,0.0060895,0.0060895,0.0060895
81,4405.08,0.69087,0.45188,1.1579,0.92189,0.9811,0.9784,0.80128,0.77404,0.42486,1.29225,0.00604,0.00604,0.00604
82,4458.86,0.67796,0.43435,1.14207,0.92872,0.95844,0.9806,0.80745,0.77681,0.42386,1.29747,0.0059905,0.0059905,0.0059905
83,4512.43,0.6657,0.43853,1.13953,0.93023,0.9779,0.9824,0.80166,0.78278,0.41833,1.31605,0.005941,0.005941,0.005941
84,4566.22,0.67952,0.44181,1.13872,0.94221,0.95671,0.9852,0.80232,0.79301,0.41844,1.31239,0.0058915,0.0058915,0.0058915
85,4619.89,0.66653,0.43561,1.13345,0.94166,0.94708,0.98284,0.80652,0.77641,0.40928,1.30953,0.005842,0.005842,0.005842
86,4673.62,0.67356,0.4307,1.1419,0.92353,0.96088,0.98362,0.80171,0.77564,0.42504,1.29355,0.0057925,0.0057925,0.0057925
87,4727.14,0.65269,0.43033,1.11835,0.93769,0.95665,0.98203,0.8024,0.78326,0.42327,1.30652,0.005743,0.005743,0.005743
88,4780.8,0.66054,0.42733,1.12245,0.91857,0.96534,0.98036,0.80125,0.78609,0.44667,1.29618,0.0056935,0.0056935,0.0056935
89,4836.03,0.65403,0.42347,1.11118,0.91732,0.98044,0.97884,0.80399,0.79379,0.414,1.33296,0.005644,0.005644,0.005644
90,4889.68,0.65571,0.42222,1.12624,0.93223,0.97533,0.98167,0.80467,0.78098,0.42593,1.30713,0.0055945,0.0055945,0.0055945
91,4943.29,0.65402,0.42482,1.12308,0.93653,0.96577,0.98349,0.80038,0.79581,0.40051,1.33126,0.005545,0.005545,0.005545
92,4996.76,0.65305,0.43077,1.11845,0.91614,0.97555,0.98307,0.79674,0.79533,0.39766,1.33151,0.0054955,0.0054955,0.0054955
93,5050.37,0.65337,0.42559,1.12533,0.94661,0.93888,0.98418,0.80418,0.797,0.43744,1.32721,0.005446,0.005446,0.005446
94,5104.2,0.64776,0.41143,1.11682,0.93615,0.95355,0.97573,0.80082,0.78696,0.41294,1.32609,0.0053965,0.0053965,0.0053965
