Wall time,Step,Value
1726895727.995113,1,3.3060925006866455
1726895790.6892042,2,2.81852126121521
1726895848.2862906,3,2.719285726547241
1726895908.799264,4,2.6401031017303467
1726895964.9978719,5,2.555145025253296
1726896021.1323187,6,2.481757640838623
1726896077.0979292,7,2.447080373764038
1726896136.170343,8,2.392655611038208
1726896191.9403095,9,2.344982147216797
1726896248.022917,10,2.321058750152588
1726896306.8277373,11,2.2967331409454346
1726896365.8984704,12,2.2726528644561768
1726896421.826242,13,2.253927230834961
1726896477.6179166,14,2.2242074012756348
1726896536.6585665,15,2.2034919261932373
1726896595.552808,16,2.1810271739959717
1726896655.133419,17,2.1536099910736084
1726896710.4537623,18,2.128729820251465
1726896765.733756,19,2.1056175231933594
1726896824.6856072,20,2.0898122787475586
1726896883.0179582,21,2.0704338550567627
1726896944.8294697,22,2.0556905269622803
1726897003.514911,23,2.040646553039551
1726897062.7348928,24,2.01106333732605
1726897122.3962793,25,1.9906682968139648
1726897177.9802048,26,1.9766929149627686
1726897237.038857,27,1.9485963582992554
1726897292.7049675,28,1.9317244291305542
1726897352.55937,29,1.9301831722259521
1726897411.2270448,30,1.9030710458755493
1726897466.421118,31,1.8780591487884521
1726897524.5208714,32,1.8678556680679321
1726897583.0973604,33,1.87577486038208
1726897638.2399876,34,1.8557536602020264
1726897696.4714074,35,1.8327375650405884
1726897755.4404275,36,1.821738362312317
1726897810.4049227,37,1.8111566305160522
1726897864.9340374,38,1.8110466003417969
1726897927.901932,39,1.7739744186401367
1726897985.660482,40,1.7744476795196533
1726898043.5037713,41,1.7677996158599854
1726898098.2110286,42,1.7495852708816528
1726898156.5774007,43,1.743249535560608
1726898215.0615613,44,1.7381640672683716
1726898269.4974573,45,1.72835373878479
1726898324.7006125,46,1.7142155170440674
1726898382.5386121,47,1.7118772268295288
1726898439.498102,48,1.70387601852417
1726898495.081711,49,1.7043910026550293
1726898551.356942,50,1.6945533752441406
1726898609.912558,51,1.6802313327789307
1726898667.7709289,52,1.6616442203521729
1726898723.1687233,53,1.663834571838379
1726898777.5397995,54,1.6676400899887085
1726898831.1843355,55,1.6631629467010498
1726898884.098703,56,1.6591662168502808
1726898941.8150902,57,1.654568076133728
1726898995.4589565,58,1.643548846244812
1726899051.9433477,59,1.628538727760315
1726899105.0328434,60,1.6321392059326172
1726899157.5793433,61,1.6219985485076904
1726899214.2638102,62,1.6381444931030273
1726899271.0882242,63,1.6123623847961426
1726899327.3784747,64,1.6219819784164429
1726899382.1705766,65,1.6117334365844727
1726899436.1676452,66,1.6126855611801147
1726899492.129576,67,1.613515853881836
1726899545.3078375,68,1.5967954397201538
1726899597.6188388,69,1.5998880863189697
1726899650.0883994,70,1.5904597043991089
1726899706.4594457,71,1.5908589363098145
1726899759.4440453,72,1.5980472564697266
1726899815.3683786,73,1.5888842344284058
1726899870.4613373,74,1.5860615968704224
1726899922.372819,75,1.5723052024841309
1726899973.9918914,76,1.575424075126648
1726900026.100704,77,1.5562325716018677
1726900077.5625834,78,1.561729907989502
1726900129.4540427,79,1.5566216707229614
1726900181.877191,80,1.5631816387176514
1726900234.397124,81,1.5541856288909912
1726900286.2990973,82,1.5546395778656006
1726900337.8948984,83,1.5520377159118652
1726900390.1408818,84,1.55097234249115
1726900441.8819194,85,1.5459073781967163
1726900497.6801596,86,1.5465800762176514
1726900553.051852,87,1.5300296545028687
1726900605.6526375,88,1.5380111932754517
1726900661.1999269,89,1.5394614934921265
1726900712.79331,90,1.542473554611206
1726900764.3798463,91,1.536793828010559
1726900815.897405,92,1.5387840270996094
1726900866.98188,93,1.537313461303711
1726900922.3440938,94,1.5269566774368286
1726900977.3457224,95,1.5086451768875122
1726901030.2648094,96,1.5187193155288696
1726901083.7156131,97,1.5188182592391968
1726901138.3845003,98,1.5323606729507446
1726901189.3114598,99,1.5050840377807617
1726901240.7764854,100,1.5153701305389404
1726901292.198222,101,1.5123225450515747
1726901347.2485888,102,1.4978935718536377
1726901398.485402,103,1.5024596452713013
1726901449.575845,104,1.5120166540145874
1726901500.6383643,105,1.5042524337768555
1726901552.3189986,106,1.4982104301452637
1726901603.3599088,107,1.4888229370117188
1726901654.5589535,108,1.5071437358856201
1726901705.784963,109,1.479750633239746
1726901756.5351,110,1.4896743297576904
1726901807.4058373,111,1.4874829053878784
1726901861.8079147,112,1.4813677072525024
1726901914.738701,113,1.4765900373458862
1726901967.793536,114,1.4766114950180054
1726902021.8445566,115,1.4762951135635376
1726902075.2030106,116,1.4828063249588013
1726902127.9202838,117,1.489746332168579
1726902179.1424243,118,1.4660987854003906
1726902230.4799864,119,1.4788542985916138
1726902281.9408767,120,1.4707409143447876
1726902332.8484967,121,1.4709035158157349
1726902383.9020734,122,1.4719607830047607
1726902434.5096378,123,1.4682767391204834
1726902485.4684308,124,1.4542152881622314
1726902536.7102828,125,1.4750137329101562
1726902587.4332025,126,1.4657353162765503
1726902639.0340183,127,1.461290717124939
1726902689.922109,128,1.4651049375534058
1726902742.454313,129,1.4609168767929077
1726902795.0770466,130,1.4643031358718872
1726902846.074183,131,1.471293330192566
1726902897.0175188,132,1.446710228919983
1726902951.648169,133,1.4496606588363647
1726903002.9376483,134,1.441680669784546
1726903054.0846395,135,1.4532649517059326
1726903104.606863,136,1.4365240335464478
1726903155.942666,137,1.441413164138794
1726903207.1691875,138,1.439233660697937
1726903257.9205112,139,1.450848937034607
1726903308.8594785,140,1.4519597291946411
1726903359.680411,141,1.445768117904663
1726903411.018423,142,1.4360764026641846
1726903461.9306178,143,1.4393736124038696
1726903512.9568474,144,1.4428811073303223
1726903563.889552,145,1.4472873210906982
1726903614.9464557,146,1.4402806758880615
1726903665.5519512,147,1.4312187433242798
1726903716.2917535,148,1.429410457611084
1726903767.0378082,149,1.438051462173462
1726903817.830548,150,1.437016248703003
1726903868.9287956,151,1.4271444082260132
1726903920.0031564,152,1.4255458116531372
1726903970.7976303,153,1.4326255321502686
1726904021.875424,154,1.425356388092041
1726904072.6297019,155,1.408703327178955
1726904123.5491083,156,1.4324729442596436
1726904174.123436,157,1.426544189453125
1726904228.6950526,158,1.4267038106918335
1726904282.7765987,159,1.4287091493606567
1726904333.8493648,160,1.413444995880127
1726904384.6043396,161,1.4264556169509888
1726904435.2441049,162,1.4185720682144165
1726904485.6512334,163,1.4157432317733765
1726904540.1025293,164,1.4194906949996948
1726904591.0568678,165,1.414931058883667
1726904641.883808,166,1.4186854362487793
1726904692.7234516,167,1.4217616319656372
1726904743.369859,168,1.4163109064102173
1726904794.2215774,169,1.416650414466858
1726904845.1333385,170,1.4097225666046143
1726904895.9626005,171,1.4183231592178345
1726904946.7474976,172,1.4062316417694092
1726904996.9623244,173,1.4086557626724243
1726905047.8095152,174,1.4063060283660889
1726905098.431805,175,1.4084218740463257
1726905149.1762393,176,1.4035325050354004
1726905199.4920034,177,1.4153410196304321
1726905250.421339,178,1.413831114768982
1726905301.1650007,179,1.3991283178329468
1726905356.2366233,180,1.3978224992752075
1726905406.6427343,181,1.397828459739685
1726905457.5971332,182,1.4031355381011963
1726905508.7587545,183,1.4120564460754395
1726905559.457821,184,1.3971505165100098
1726905613.1517885,185,1.4090850353240967
1726905664.8687093,186,1.2808499336242676
1726905713.7397199,187,1.269465684890747
1726905764.4689531,188,1.2670460939407349
1726905815.5168996,189,1.2599760293960571
1726905866.5984647,190,1.2498705387115479
1726905917.0156956,191,1.2552682161331177
1726905965.3273616,192,1.244823932647705
1726906013.5305965,193,1.2413378953933716
1726906067.4129283,194,1.2439026832580566
1726906115.341147,195,1.2368568181991577
1726906169.1784952,196,1.2318254709243774
1726906217.0899203,197,1.2306578159332275
1726906264.4018784,198,1.2339394092559814
1726906312.127735,199,1.2365376949310303
1726906360.056545,200,1.2361069917678833
