epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1491.81,0.88451,0.62665,1.31246,0.91551,0.95844,0.97865,0.75825,0.8734,0.51336,1.36146,0.007921,0.007921,0.007921
44,1526.62,0.85872,0.60788,1.2794,0.91123,0.95377,0.97868,0.75084,0.88868,0.52086,1.36658,0.0078715,0.0078715,0.0078715
45,1560.65,0.86216,0.6133,1.28352,0.92661,0.93399,0.97554,0.76307,0.86184,0.5098,1.36064,0.007822,0.007822,0.007822
46,1595.71,0.84674,0.59044,1.27296,0.90398,0.96673,0.97988,0.75879,0.8513,0.50212,1.34963,0.0077725,0.0077725,0.0077725
47,1629.91,0.85141,0.60391,1.27515,0.92591,0.94715,0.97749,0.76347,0.85081,0.51378,1.3344,0.007723,0.007723,0.007723
48,1664.8,0.8481,0.59535,1.27058,0.91951,0.94967,0.97545,0.75511,0.87986,0.50597,1.35099,0.0076735,0.0076735,0.0076735
49,1699,0.84818,0.57671,1.27071,0.89319,0.95355,0.97575,0.75617,0.85604,0.50406,1.34926,0.007624,0.007624,0.007624
50,1733.17,0.83101,0.59553,1.259,0.91259,0.94445,0.97905,0.76727,0.85644,0.49913,1.35562,0.0075745,0.0075745,0.0075745
51,1768.24,0.82795,0.5814,1.2625,0.92062,0.96411,0.98003,0.77004,0.8389,0.47085,1.34668,0.007525,0.007525,0.007525
52,1803.11,0.82222,0.57117,1.25451,0.90774,0.96227,0.97747,0.76526,0.85533,0.48635,1.33321,0.0074755,0.0074755,0.0074755
53,1837.13,0.83014,0.57735,1.25914,0.91788,0.95645,0.98,0.77838,0.84266,0.48143,1.32571,0.007426,0.007426,0.007426
54,1872.09,0.81443,0.56967,1.24497,0.92991,0.94621,0.98008,0.77652,0.83432,0.48397,1.32027,0.0073765,0.0073765,0.0073765
55,1906.11,0.81063,0.56513,1.24217,0.93584,0.96333,0.9801,0.76507,0.85194,0.46548,1.345,0.007327,0.007327,0.007327
56,1940.17,0.81943,0.57433,1.25168,0.92592,0.94737,0.98046,0.77541,0.83081,0.48901,1.33495,0.0072775,0.0072775,0.0072775
57,1974.28,0.80558,0.54575,1.2351,0.89984,0.9511,0.97117,0.77475,0.82138,0.48896,1.30725,0.007228,0.007228,0.007228
58,2008.21,0.78837,0.53933,1.2153,0.94448,0.95666,0.98265,0.76601,0.84354,0.46692,1.33682,0.0071785,0.0071785,0.0071785
59,2042.36,0.79476,0.54174,1.22443,0.91233,0.978,0.98215,0.79635,0.77875,0.45525,1.26783,0.007129,0.007129,0.007129
