                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,      train/loss_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,      train/loss_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
28,1.0348,0.77579,1.4985,10.396645,1.104,0.84411,1.5514,11.029155,0.84956,0.85819,0.92778,0.68945,0.9085,0.64518,1.4759,0.96842,0.62633,1.5227,0.008713,0.008713,0.008713
29,1.0235,0.78063,1.4995,10.315815,1.0951,0.84635,1.5572,10.972225,0.86002,0.85819,0.93605,0.68631,0.92942,0.62172,1.5017,0.98588,0.58591,1.5821,0.0086635,0.0086635,0.0086635
30,1.0048,0.76654,1.4802,10.13957,1.0813,0.84603,1.5433,10.847715,0.85411,0.85887,0.93601,0.69101,0.93883,0.59825,1.5209,0.96441,0.57377,1.5449,0.008614,0.008614,0.008614
31,1.0054,0.776,1.4825,10.15225,1.0839,0.83038,1.5418,10.85714,0.86309,0.86314,0.93626,0.70845,0.89882,0.58451,1.4605,0.92555,0.54736,1.492,0.0085645,0.0085645,0.0085645
32,0.99741,0.744,1.4807,10.073625,1.0671,0.80604,1.5364,10.71087,0.83171,0.91932,0.93956,0.70986,0.92697,0.57194,1.4984,0.94706,0.53933,1.516,0.008515,0.008515,0.008515
33,0.99596,0.72999,1.4612,10.026495,1.0795,0.76385,1.5216,10.760575,0.86546,0.89487,0.95067,0.71554,0.91957,0.58043,1.4954,0.94618,0.5051,1.5318,0.0084655,0.0084655,0.0084655
34,0.97496,0.73001,1.4607,9.868255,1.0446,0.78544,1.5189,10.50557,0.85898,0.90846,0.94659,0.71166,0.91281,0.58286,1.4716,0.9416,0.5263,1.5023,0.008416,0.008416,0.008416
35,0.97686,0.71978,1.4476,9.85774,1.0469,0.78238,1.511,10.50944,0.86357,0.88216,0.94149,0.7071,0.89315,0.53855,1.443,0.91853,0.50232,1.4772,0.0083665,0.0083665,0.0083665
36,0.95448,0.69886,1.4289,9.65138,1.0321,0.7487,1.5018,10.3678,0.87049,0.85455,0.93443,0.70769,0.89985,0.58138,1.4608,0.92656,0.59236,1.5045,0.008317,0.008317,0.008317
37,0.94896,0.70279,1.4255,9.606845,1.0216,0.75699,1.4947,10.282545,0.85774,0.91397,0.95026,0.71328,0.90374,0.54858,1.4471,0.92428,0.49319,1.4944,0.0082675,0.0082675,0.0082675
38,0.94167,0.69713,1.414,9.53209,1.0127,0.73123,1.4699,10.165715,0.86715,0.90969,0.94953,0.71966,0.87728,0.54317,1.452,0.90711,0.48945,1.4865,0.008218,0.008218,0.008218
39,0.94347,0.69044,1.4203,9.551695,1.0112,0.74152,1.4727,10.16381,0.90163,0.85575,0.95271,0.71362,0.87969,0.54999,1.433,0.91058,0.47859,1.4509,0.0081685,0.0081685,0.0081685
40,0.93961,0.69132,1.4082,9.505035,1.013,0.74048,1.4527,10.14679,0.8431,0.89338,0.94375,0.71577,0.88137,0.55376,1.441,0.92166,0.51895,1.4657,0.008119,0.008119,0.008119
41,0.93238,0.68964,1.4113,9.45462,0.99977,0.71934,1.4604,10.048545,0.84783,0.92633,0.95676,0.72767,0.89692,0.53613,1.4494,0.91962,0.4806,1.4828,0.0080695,0.0080695,0.0080695
42,0.9324,0.67612,1.3992,9.42986,1.0088,0.70545,1.4526,10.097625,0.89527,0.89242,0.95895,0.72298,0.89248,0.54352,1.4405,0.91556,0.49319,1.4657,0.00802,0.00802,0.00802
43,0.92363,0.67394,1.4083,9.376645,0.99792,0.70626,1.4602,10.02783,0.86703,0.89487,0.94822,0.71131,0.86973,0.5314,1.4306,0.90703,0.50839,1.4857,0.0079705,0.0079705,0.0079705
