                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,         train/loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
42,0.96118,0.70809,1.3793,9.631845,0.893,0.93861,0.96397,0.73291,0.89399,0.59966,1.3751,0.0079705,0.0079705,0.0079705
43,0.95694,0.70127,1.3899,9.612535,0.91275,0.91198,0.96109,0.72225,0.91646,0.60112,1.4191,0.007921,0.007921,0.007921
44,0.94641,0.6798,1.3724,9.496575,0.89404,0.93154,0.96823,0.73565,0.88688,0.59402,1.3792,0.0078715,0.0078715,0.0078715
45,0.94645,0.68331,1.3719,9.49788,0.88104,0.95844,0.97189,0.72828,0.91313,0.59662,1.4269,0.007822,0.007822,0.007822
46,0.93469,0.6742,1.3564,9.381875,0.90027,0.927,0.97103,0.73388,0.88702,0.56931,1.3864,0.0077725,0.0077725,0.0077725
47,0.93423,0.67505,1.3568,9.37945,0.9194,0.92038,0.96929,0.74944,0.87812,0.55894,1.3598,0.007723,0.007723,0.007723
48,0.93685,0.67347,1.3543,9.39456,0.91909,0.9291,0.97233,0.74271,0.89957,0.57409,1.3756,0.0076735,0.0076735,0.0076735
49,0.94077,0.66235,1.3629,9.4313,0.91902,0.91568,0.9733,0.75194,0.86284,0.56634,1.3599,0.007624,0.007624,0.007624
50,0.92659,0.66755,1.3488,9.3064,0.89268,0.93549,0.96457,0.734,0.88153,0.55561,1.3933,0.0075745,0.0075745,0.0075745
51,0.91774,0.65572,1.3471,9.23156,0.92228,0.9285,0.97035,0.73474,0.90261,0.56128,1.3807,0.007525,0.007525,0.007525
52,0.91016,0.65703,1.34,9.164715,0.88489,0.95854,0.97559,0.74748,0.88879,0.54763,1.3767,0.0074755,0.0074755,0.0074755
53,0.92722,0.65418,1.3568,9.31644,0.92675,0.9022,0.97064,0.74548,0.89076,0.54203,1.3706,0.007426,0.007426,0.007426
54,0.89761,0.64271,1.3301,9.04858,0.91055,0.94582,0.97742,0.75,0.86981,0.56776,1.3588,0.0073765,0.0073765,0.0073765
