               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
41,1.3978,1.0809,1.8344,13.77555,0.89037,0.89359,0.95501,0.71367,1.1907,0.84025,1.9532,0.00802,0.00802,0.00802
42,1.3961,1.0786,1.8235,13.7453,0.913,0.89806,0.96737,0.73432,1.1559,0.74486,1.9294,0.0079705,0.0079705,0.0079705
43,1.3749,1.0479,1.8105,13.55145,0.87389,0.9488,0.95715,0.73014,1.1492,0.747,1.9015,0.007921,0.007921,0.007921
44,1.374,1.06,1.8213,13.56695,0.86738,0.94349,0.96412,0.72595,1.1451,0.74487,1.9141,0.0078715,0.0078715,0.0078715
45,1.3785,1.0501,1.8008,13.565,0.92898,0.92176,0.96997,0.73717,1.1551,0.72881,1.9053,0.007822,0.007822,0.007822
46,1.3576,1.0308,1.7949,13.38975,0.91564,0.91932,0.97181,0.73703,1.1428,0.74627,1.9315,0.0077725,0.0077725,0.0077725
47,1.3607,1.0527,1.7933,13.42155,0.91771,0.92176,0.97115,0.74062,1.154,0.71736,1.9207,0.007723,0.007723,0.007723
48,1.3562,1.0186,1.7897,13.36535,0.88422,0.9511,0.97392,0.73515,1.147,0.7145,1.9062,0.0076735,0.0076735,0.0076735
49,1.3284,1.0077,1.7763,13.1313,0.93215,0.91443,0.96921,0.74097,1.124,0.73055,1.8989,0.007624,0.007624,0.007624
50,1.3494,1.0103,1.7969,13.321,0.91138,0.93037,0.96504,0.72699,1.164,0.71035,1.9356,0.0075745,0.0075745,0.0075745
51,1.3339,1.0012,1.7693,13.1588,0.94701,0.89976,0.97542,0.74572,1.1122,0.69803,1.8772,0.007525,0.007525,0.007525
52,1.3479,1.0087,1.7696,13.268,0.93886,0.90111,0.96831,0.74356,1.1117,0.70539,1.89,0.0074755,0.0074755,0.0074755
53,1.3148,0.99383,1.763,13.002415,0.94119,0.90004,0.96875,0.74961,1.1205,0.68738,1.8861,0.007426,0.007426,0.007426
54,1.3378,0.99167,1.7761,13.193485,0.92312,0.91932,0.97245,0.7521,1.0964,0.67535,1.8599,0.0073765,0.0073765,0.0073765
55,1.3132,0.98804,1.7712,12.99982,0.90871,0.9511,0.97574,0.75674,1.1167,0.67253,1.8819,0.007327,0.007327,0.007327
56,1.317,0.98322,1.7642,13.01541,0.92414,0.91932,0.96998,0.75857,1.0764,0.67745,1.8134,0.0072775,0.0072775,0.0072775
57,1.3033,0.97442,1.7578,12.89866,0.92127,0.91553,0.97271,0.74459,1.1204,0.69508,1.8785,0.007228,0.007228,0.007228
58,1.2871,0.96554,1.7343,12.73747,0.9025,0.94377,0.97116,0.74966,1.0974,0.6821,1.8567,0.0071785,0.0071785,0.0071785
59,1.3143,0.96548,1.7472,12.96079,0.88868,0.96088,0.97787,0.76012,1.1095,0.64527,1.88,0.007129,0.007129,0.007129
60,1.2769,0.94231,1.7233,12.632855,0.88559,0.94623,0.97289,0.75225,1.1197,0.65455,1.8879,0.0070795,0.0070795,0.0070795
61,1.2737,0.9336,1.7071,12.5802,0.91813,0.93643,0.97309,0.74423,1.1109,0.6476,1.8768,0.00703,0.00703,0.00703
62,1.2885,0.9774,1.7399,12.7623,0.91528,0.93399,0.97298,0.75747,1.0726,0.6738,1.8314,0.0069805,0.0069805,0.0069805
63,1.2645,0.92997,1.7175,12.524985,0.91603,0.9291,0.97023,0.75696,1.0705,0.66479,1.825,0.006931,0.006931,0.006931
64,1.2829,0.93289,1.7263,12.677645,0.92867,0.93399,0.97411,0.76078,1.0441,0.65577,1.7782,0.0068815,0.0068815,0.0068815
65,1.2889,0.94479,1.7242,12.725445,0.92257,0.94132,0.97469,0.74906,1.1049,0.66223,1.8498,0.006832,0.006832,0.006832
66,1.2814,0.95636,1.7228,12.67288,0.91964,0.90465,0.96949,0.76224,1.058,0.69011,1.802,0.0067825,0.0067825,0.0067825
67,1.2542,0.92738,1.7044,12.42679,0.92363,0.94628,0.97273,0.76363,1.0864,0.63688,1.8469,0.006733,0.006733,0.006733
68,1.2729,0.92386,1.7347,12.61073,0.92472,0.91932,0.97375,0.75485,1.0936,0.65288,1.8635,0.0066835,0.0066835,0.0066835
69,1.2697,0.9537,1.7238,12.5853,0.89542,0.942,0.96905,0.75425,1.1194,0.65981,1.8905,0.006634,0.006634,0.006634
70,1.2577,0.90484,1.7095,12.44942,0.88397,0.94995,0.97311,0.76348,1.0432,0.6515,1.7948,0.0065845,0.0065845,0.0065845
71,1.2388,0.8977,1.6965,12.2846,0.93163,0.91443,0.97309,0.76393,1.0853,0.63889,1.8281,0.006535,0.006535,0.006535
72,1.2242,0.88854,1.6783,12.14322,0.90102,0.93482,0.97201,0.75203,1.0949,0.6867,1.8529,0.0064855,0.0064855,0.0064855
73,1.2273,0.86004,1.67,12.13977,0.93275,0.91687,0.9732,0.77011,1.0464,0.62853,1.7858,0.006436,0.006436,0.006436
74,1.2284,0.8976,1.6863,12.19125,0.91836,0.96088,0.97978,0.78062,1.0072,0.59272,1.7485,0.0063865,0.0063865,0.0063865
75,1.24,0.90802,1.701,12.30551,0.92982,0.91443,0.97344,0.76732,1.0474,0.64016,1.8028,0.006337,0.006337,0.006337
76,1.2186,0.87739,1.6721,12.086345,0.91251,0.94621,0.97633,0.77719,1.0447,0.61614,1.7914,0.0062875,0.0062875,0.0062875
77,1.2132,0.87518,1.6685,12.03934,0.91085,0.94922,0.97742,0.77164,1.0427,0.62965,1.7742,0.006238,0.006238,0.006238
78,1.2085,0.87376,1.6717,12.00818,0.9005,0.95155,0.97558,0.78392,1.0207,0.58975,1.7625,0.0061885,0.0061885,0.0061885
79,1.2264,0.87844,1.6776,12.15362,0.91542,0.95262,0.97157,0.75985,1.0631,0.61983,1.8021,0.006139,0.006139,0.006139
80,1.2238,0.85991,1.6661,12.107605,0.90873,0.94936,0.97652,0.77826,1.0523,0.61412,1.7955,0.0060895,0.0060895,0.0060895
81,1.1933,0.85893,1.6597,11.868765,0.91958,0.90709,0.97309,0.77139,1.0523,0.61426,1.7982,0.00604,0.00604,0.00604
82,1.2041,0.85706,1.658,11.94628,0.9255,0.94155,0.97737,0.77376,1.0442,0.60434,1.7915,0.0059905,0.0059905,0.0059905
83,1.2005,0.84769,1.6544,11.909195,0.91953,0.94995,0.97589,0.77741,1.0348,0.63586,1.7647,0.005941,0.005941,0.005941
84,1.1974,0.84632,1.648,11.87566,0.92997,0.93643,0.97909,0.78327,1.0207,0.59067,1.7693,0.0058915,0.0058915,0.0058915
85,1.1896,0.84919,1.6522,11.824895,0.9191,0.94445,0.97722,0.77321,1.0668,0.58982,1.8468,0.005842,0.005842,0.005842
86,1.1941,0.85663,1.6612,11.875865,0.92666,0.92665,0.97626,0.77663,1.0364,0.59622,1.792,0.0057925,0.0057925,0.0057925
87,1.1977,0.83612,1.6498,11.87551,0.89956,0.96346,0.97687,0.77461,1.0498,0.60385,1.7911,0.005743,0.005743,0.005743
88,1.1902,0.85136,1.6566,11.83708,0.93166,0.92665,0.97797,0.78639,1.0651,0.60403,1.8047,0.0056935,0.0056935,0.0056935
89,1.1955,0.83335,1.6516,11.860325,0.92615,0.95054,0.98104,0.77874,1.0587,0.59213,1.8023,0.005644,0.005644,0.005644
90,1.1803,0.82754,1.6345,11.71777,0.90647,0.94789,0.97769,0.77821,1.0597,0.59651,1.822,0.0055945,0.0055945,0.0055945
91,1.1685,0.84754,1.6396,11.64692,0.92318,0.94019,0.97886,0.77964,1.049,0.58826,1.8194,0.005545,0.005545,0.005545
92,1.1816,0.83955,1.6334,11.731875,0.9282,0.94823,0.97953,0.77794,1.0374,0.59737,1.7865,0.0054955,0.0054955,0.0054955
93,1.174,0.84295,1.6429,11.690825,0.93769,0.93888,0.97977,0.77882,1.0233,0.57799,1.7781,0.005446,0.005446,0.005446
94,1.1818,0.82746,1.6385,11.73498,0.92896,0.95355,0.98089,0.78227,1.0486,0.5697,1.8149,0.0053965,0.0053965,0.0053965
95,1.1708,0.82722,1.6398,11.65431,0.93794,0.94132,0.97776,0.78037,1.0194,0.57406,1.7705,0.005347,0.005347,0.005347
96,1.1702,0.8245,1.6396,11.64815,0.91838,0.93543,0.97453,0.78128,1.0404,0.61201,1.7845,0.0052975,0.0052975,0.0052975
97,1.1577,0.80238,1.6272,11.52474,0.92324,0.94102,0.98255,0.78125,1.0193,0.5654,1.7714,0.005248,0.005248,0.005248
98,1.1456,0.8129,1.6167,11.4235,0.93087,0.92186,0.97866,0.77778,1.0419,0.57253,1.7849,0.0051985,0.0051985,0.0051985
99,1.1439,0.80795,1.612,11.401225,0.93676,0.94377,0.97819,0.77855,1.035,0.59192,1.7817,0.005149,0.005149,0.005149
100,1.1372,0.80114,1.6284,11.37217,0.90333,0.95956,0.97858,0.77954,1.0687,0.57441,1.8273,0.0050995,0.0050995,0.0050995
101,1.1432,0.80536,1.6139,11.39753,0.9311,0.94621,0.98201,0.79094,1.0036,0.58306,1.7414,0.00505,0.00505,0.00505
102,1.1389,0.81206,1.6147,11.36983,0.94068,0.93047,0.98041,0.77885,1.0384,0.55931,1.7744,0.0050005,0.0050005,0.0050005
103,1.158,0.79934,1.6219,11.51752,0.94882,0.93399,0.98187,0.78191,1.0205,0.56961,1.7591,0.004951,0.004951,0.004951
104,1.1307,0.79206,1.5969,11.27163,0.90874,0.97388,0.98318,0.7957,0.99414,0.54473,1.7445,0.0049015,0.0049015,0.0049015
105,1.1342,0.78353,1.6072,11.309065,0.9124,0.9677,0.98212,0.79216,0.98966,0.55091,1.7424,0.004852,0.004852,0.004852
106,1.1133,0.7612,1.5881,11.1125,0.94463,0.93154,0.98193,0.7925,1.0131,0.56987,1.7633,0.0048025,0.0048025,0.0048025
107,1.1418,0.79047,1.6033,11.363685,0.92379,0.94836,0.97851,0.77909,1.0236,0.55759,1.797,0.004753,0.004753,0.004753
108,1.1125,0.76603,1.5758,11.090465,0.93174,0.9345,0.97677,0.78939,1.0192,0.56533,1.7899,0.0047035,0.0047035,0.0047035
109,1.1306,0.78712,1.6018,11.27576,0.94172,0.93154,0.98061,0.79377,1.0198,0.55228,1.7754,0.004654,0.004654,0.004654
110,1.1129,0.76469,1.579,11.097595,0.93423,0.93643,0.98166,0.78085,1.0183,0.56915,1.7834,0.0046045,0.0046045,0.0046045
111,1.1094,0.7583,1.5875,11.0809,0.92285,0.94621,0.97952,0.78722,1.0044,0.57915,1.7516,0.004555,0.004555,0.004555
112,1.1206,0.77369,1.5943,11.182795,0.91169,0.95913,0.97814,0.79644,0.99407,0.56359,1.7543,0.0045055,0.0045055,0.0045055
113,1.1187,0.77639,1.576,11.142445,0.91787,0.95635,0.98,0.79034,0.99221,0.56826,1.7345,0.004456,0.004456,0.004456
114,1.1025,0.74749,1.5796,11.011895,0.93297,0.95285,0.9809,0.78963,1.0069,0.5596,1.7434,0.0044065,0.0044065,0.0044065
115,1.0881,0.7321,1.5597,10.86635,0.93268,0.94842,0.9781,0.79226,1.0056,0.5804,1.7647,0.004357,0.004357,0.004357
116,1.1161,0.76424,1.6045,11.15962,0.93692,0.94418,0.97969,0.79703,0.97998,0.54407,1.7359,0.0043075,0.0043075,0.0043075
117,1.0989,0.7415,1.5756,10.9759,0.94136,0.93399,0.98175,0.79417,1.011,0.54502,1.7618,0.004258,0.004258,0.004258
118,1.1049,0.76976,1.5915,11.05888,0.92393,0.95022,0.97921,0.79223,0.99343,0.55459,1.7444,0.0042085,0.0042085,0.0042085
119,1.0929,0.74899,1.5745,10.932995,0.93349,0.94866,0.98106,0.79601,1.0023,0.54592,1.7543,0.004159,0.004159,0.004159
