               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
41,1.5237,1.2286,1.9294,14.93615,0.88018,0.88998,0.95574,0.71546,1.2032,0.85285,1.9459,0.00802,0.00802,0.00802
42,1.5239,1.2323,1.925,14.9329,0.9247,0.9007,0.96726,0.73555,1.1439,0.78273,1.8998,0.0079705,0.0079705,0.0079705
43,1.5142,1.1873,1.9185,14.8279,0.90606,0.8961,0.96364,0.73152,1.1414,0.79022,1.8726,0.007921,0.007921,0.007921
44,1.4994,1.2006,1.9073,14.70675,0.90015,0.92572,0.96284,0.73171,1.1519,0.8014,1.918,0.0078715,0.0078715,0.0078715
45,1.503,1.2076,1.8936,14.7167,0.90781,0.8908,0.96279,0.72037,1.1963,0.79694,1.9336,0.007822,0.007822,0.007822
46,1.4822,1.1748,1.8851,14.53155,0.90577,0.89731,0.96282,0.7233,1.1795,0.80666,1.9137,0.0077725,0.0077725,0.0077725
47,1.4943,1.1901,1.8997,14.65185,0.89534,0.89939,0.95717,0.71964,1.1915,0.7834,1.9316,0.007723,0.007723,0.007723
48,1.4821,1.163,1.8762,14.51155,0.93265,0.89242,0.96766,0.72612,1.2063,0.77319,1.9278,0.0076735,0.0076735,0.0076735
49,1.4708,1.1465,1.8755,14.4175,0.92286,0.88509,0.96498,0.73056,1.162,0.77472,1.9025,0.007624,0.007624,0.007624
50,1.4717,1.1476,1.8818,14.43425,0.91352,0.90399,0.96055,0.73054,1.1686,0.76078,1.9147,0.0075745,0.0075745,0.0075745
51,1.4709,1.1467,1.8679,14.40695,0.88993,0.91687,0.96607,0.73492,1.1462,0.76848,1.8886,0.007525,0.007525,0.007525
52,1.4855,1.1462,1.8658,14.51305,0.906,0.89554,0.96232,0.71978,1.1729,0.80251,1.9023,0.0074755,0.0074755,0.0074755
53,1.4461,1.1475,1.8597,14.20905,0.90639,0.89959,0.96538,0.73405,1.1671,0.77094,1.8993,0.007426,0.007426,0.007426
54,1.4529,1.1143,1.8567,14.23895,0.89911,0.90709,0.96405,0.73856,1.1589,0.74962,1.8918,0.0073765,0.0073765,0.0073765
55,1.4466,1.1242,1.8693,14.21555,0.88878,0.9378,0.96737,0.73659,1.1475,0.73715,1.8903,0.007327,0.007327,0.007327
56,1.427,1.1162,1.8494,14.0347,0.88949,0.92497,0.9672,0.73466,1.1505,0.74883,1.8608,0.0072775,0.0072775,0.0072775
57,1.435,1.1022,1.8548,14.0958,0.90256,0.91687,0.96725,0.73204,1.1685,0.7671,1.9148,0.007228,0.007228,0.007228
58,1.4255,1.1046,1.8331,13.9932,0.90868,0.92446,0.96848,0.74793,1.1286,0.73207,1.8759,0.0071785,0.0071785,0.0071785
59,1.4413,1.117,1.8371,14.1239,0.95284,0.88925,0.97431,0.75504,1.0801,0.6985,1.8044,0.007129,0.007129,0.007129
60,1.4042,1.0782,1.809,13.7841,0.89731,0.91865,0.96676,0.75108,1.1363,0.7142,1.8656,0.0070795,0.0070795,0.0070795
61,1.4032,1.0636,1.7962,13.7501,0.88895,0.93946,0.96947,0.74367,1.1271,0.70351,1.8339,0.00703,0.00703,0.00703
62,1.4264,1.1053,1.8377,14.0072,0.91285,0.92192,0.97076,0.74977,1.122,0.72214,1.8575,0.0069805,0.0069805,0.0069805
63,1.3999,1.0574,1.8228,13.76215,0.91274,0.89487,0.9692,0.74014,1.103,0.72722,1.8352,0.006931,0.006931,0.006931
64,1.4097,1.0718,1.8266,13.84855,0.92365,0.91443,0.97179,0.75196,1.0778,0.71496,1.799,0.0068815,0.0068815,0.0068815
65,1.4097,1.0792,1.8176,13.83875,0.90584,0.91728,0.97301,0.76304,1.09,0.6861,1.8089,0.006832,0.006832,0.006832
66,1.4114,1.0909,1.825,13.86845,0.91217,0.91932,0.96964,0.74724,1.113,0.7191,1.8512,0.0067825,0.0067825,0.0067825
67,1.3795,1.0638,1.798,13.57515,0.90242,0.93888,0.97183,0.74357,1.1236,0.71232,1.867,0.006733,0.006733,0.006733
68,1.3982,1.0712,1.8281,13.76425,0.91328,0.91443,0.96966,0.74395,1.0932,0.725,1.8306,0.0066835,0.0066835,0.0066835
69,1.4045,1.0884,1.8217,13.8105,0.92224,0.92796,0.97387,0.74806,1.1262,0.68997,1.8517,0.006634,0.006634,0.006634
70,1.3752,1.0298,1.7942,13.5202,0.91806,0.93399,0.96904,0.75896,1.0697,0.69661,1.7962,0.0065845,0.0065845,0.0065845
71,1.3673,1.0223,1.7923,13.45435,0.90094,0.93397,0.9712,0.75972,1.076,0.69599,1.8074,0.006535,0.006535,0.006535
72,1.3653,1.0286,1.7853,13.432,0.91576,0.91443,0.97075,0.749,1.1082,0.68472,1.8255,0.0064855,0.0064855,0.0064855
73,1.3574,0.98896,1.7652,13.32278,0.93288,0.91932,0.97273,0.74962,1.1108,0.65912,1.8513,0.006436,0.006436,0.006436
74,1.354,1.0203,1.7857,13.3437,0.8886,0.92421,0.96739,0.75015,1.0755,0.70857,1.7948,0.0063865,0.0063865,0.0063865
75,1.3648,1.0288,1.7944,13.442,0.91859,0.93795,0.97303,0.76135,1.0582,0.67937,1.7798,0.006337,0.006337,0.006337
76,1.3479,1.0127,1.768,13.2676,0.91624,0.93605,0.97356,0.77306,1.0539,0.65653,1.7739,0.0062875,0.0062875,0.0062875
77,1.3437,1.0008,1.7665,13.2279,0.88965,0.93888,0.96903,0.76299,1.0819,0.69987,1.7934,0.006238,0.006238,0.006238
78,1.3401,1.0036,1.771,13.20905,0.89488,0.94621,0.97493,0.77577,1.0624,0.65095,1.7745,0.0061885,0.0061885,0.0061885
79,1.3682,1.0072,1.7865,13.44485,0.93165,0.89989,0.97191,0.76289,1.1067,0.67318,1.833,0.006139,0.006139,0.006139
80,1.3555,0.99882,1.7645,13.31241,0.92626,0.93399,0.9784,0.76633,1.0986,0.64997,1.8213,0.0060895,0.0060895,0.0060895
81,1.3355,0.97914,1.7651,13.15347,0.8932,0.96111,0.9751,0.76057,1.0861,0.65813,1.8141,0.00604,0.00604,0.00604
82,1.3413,0.98295,1.7608,13.192425,0.9177,0.927,0.97378,0.76427,1.0933,0.66016,1.8026,0.0059905,0.0059905,0.0059905
83,1.3389,0.97497,1.7556,13.162635,0.92776,0.94199,0.97901,0.77173,1.0688,0.65214,1.7719,0.005941,0.005941,0.005941
84,1.3217,0.96757,1.7418,13.009235,0.89854,0.94377,0.97677,0.76628,1.0923,0.67864,1.8061,0.0058915,0.0058915,0.0058915
85,1.327,0.9833,1.7531,13.0738,0.89556,0.94343,0.97138,0.75068,1.1092,0.68388,1.8382,0.005842,0.005842,0.005842
86,1.334,0.99072,1.7604,13.14096,0.90667,0.92631,0.97498,0.76829,1.0895,0.64761,1.8184,0.0057925,0.0057925,0.0057925
87,1.3405,0.96848,1.756,13.17199,0.87838,0.96333,0.97665,0.75895,1.0898,0.67368,1.8037,0.005743,0.005743,0.005743
88,1.3177,0.97657,1.75,12.996035,0.90086,0.94132,0.97413,0.77426,1.0686,0.66438,1.7833,0.0056935,0.0056935,0.0056935
89,1.3394,0.96814,1.7629,13.17392,0.91423,0.93822,0.9765,0.74966,1.1224,0.64691,1.8323,0.005644,0.005644,0.005644
90,1.3234,0.95921,1.734,13.006105,0.9252,0.93752,0.97577,0.75572,1.1073,0.63816,1.8281,0.0055945,0.0055945,0.0055945
91,1.3153,0.96969,1.7427,12.963645,0.90661,0.94946,0.97453,0.7663,1.0832,0.65461,1.7958,0.005545,0.005545,0.005545
92,1.324,0.97665,1.7352,13.021125,0.89457,0.96333,0.97324,0.76196,1.0694,0.64957,1.7877,0.0054955,0.0054955,0.0054955
93,1.3122,0.96134,1.7477,12.94372,0.93252,0.92665,0.97543,0.77139,1.0814,0.64318,1.799,0.005446,0.005446,0.005446
94,1.3158,0.95733,1.7357,12.950715,0.90332,0.95946,0.97583,0.75168,1.1076,0.63693,1.8152,0.0053965,0.0053965,0.0053965
95,1.3068,0.95621,1.7439,12.894955,0.90174,0.9648,0.97471,0.75843,1.0931,0.63569,1.8155,0.005347,0.005347,0.005347
96,1.2979,0.96064,1.7305,12.81032,0.93982,0.91932,0.976,0.76387,1.1088,0.62924,1.8254,0.0052975,0.0052975,0.0052975
97,1.2947,0.93234,1.7208,12.75762,0.91702,0.91873,0.97218,0.77131,1.0722,0.63902,1.7923,0.005248,0.005248,0.005248
98,1.2846,0.9485,1.7232,12.69355,0.92422,0.92421,0.97677,0.76846,1.1072,0.61904,1.8378,0.0051985,0.0051985,0.0051985
